City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kruisfontein,ZA,2020-11-24 23:20:33,-34.0,24.73,57.99,85,9,4.0
70,Lata,PT,2020-11-24 23:20:02,40.16,-8.33,55.99,93,69,10.0
71,Bambous Virieux,MU,2020-11-24 23:24:04,-20.34,57.76,75.99,88,75,10.29
72,Shimoda,JP,2020-11-24 23:19:57,34.67,138.95,46.99,95,82,1.01
73,New Norfolk,AU,2020-11-24 23:24:04,-42.78,147.06,73.99,49,24,1.99
74,Okhotsk,RU,2020-11-24 23:24:04,59.38,143.3,-6.65,86,56,21.65
75,Puerto Ayora,EC,2020-11-24 23:24:05,-0.74,-90.35,72.0,88,100,5.99
76,Hilo,US,2020-11-24 23:19:44,19.73,-155.09,84.2,62,75,5.82
77,Urumqi,CN,2020-11-24 23:20:40,43.8,87.6,23.0,62,75,4.47
78,Sioux Lookout,CA,2020-11-24 23:24:05,50.1,-91.92,28.4,92,90,5.82
79,Takaka,NZ,2020-11-24 23:24:05,-40.85,172.8,60.01,74,100,17.0
80,Aksay,RU,2020-11-24 23:22:40,47.26,39.87,36.0,93,20,8.95
81,Anadyr,RU,2020-11-24 23:24:05,64.75,177.48,26.6,86,90,15.66
82,Unguia,CO,2020-11-24 23:24:05,8.04,-77.09,79.74,81,85,3.56
83,Taoudenni,ML,2020-11-24 23:24:05,22.68,-3.98,60.48,32,48,11.92
84,Langsa,ID,2020-11-24 23:20:22,4.47,97.97,72.72,92,100,1.86
85,Byron Bay,AU,2020-11-24 23:24:05,-28.65,153.62,71.6,78,90,13.87
86,Yar-Sale,RU,2020-11-24 23:24:05,66.83,70.83,12.02,96,93,10.13
87,Bluff,NZ,2020-11-24 23:24:05,-46.6,168.33,56.48,57,0,9.15
88,Airai,TL,2020-11-24 23:20:00,-8.93,125.41,69.06,79,19,1.28
89,Beloha,MG,2020-11-24 23:24:06,-25.17,45.05,70.95,76,41,3.69
90,Bredasdorp,ZA,2020-11-24 23:24:06,-34.53,20.04,53.6,71,59,6.93
91,Fairbanks,US,2020-11-24 23:24:06,64.84,-147.72,5.0,77,75,1.12
92,Yatou,CN,2020-11-24 23:24:06,37.15,122.38,38.34,75,27,4.12
93,Faanui,PF,2020-11-24 23:19:57,-16.48,-151.75,80.89,79,9,13.22
94,Harper,LR,2020-11-24 23:24:06,4.38,-7.72,78.08,88,11,7.49
95,Margate,GB,2020-11-24 23:24:06,51.38,1.39,50.0,77,100,4.0
96,Basoko,CD,2020-11-24 23:24:06,1.24,23.62,70.7,95,87,2.46
97,Erenhot,CN,2020-11-24 23:24:06,43.65,111.98,7.47,90,0,2.06
98,Garowe,SO,2020-11-24 23:20:06,8.41,48.48,74.89,71,54,11.18
99,Nayoro,JP,2020-11-24 23:24:07,44.35,142.46,33.51,92,100,8.14
100,Taltal,CL,2020-11-24 23:21:58,-25.4,-70.48,65.66,64,57,5.77
101,Dalby,AU,2020-11-24 23:24:07,-27.18,151.27,77.0,44,82,19.46
102,Hithadhoo,MV,2020-11-24 23:24:07,-0.6,73.08,81.61,78,0,12.15
103,Upernavik,GL,2020-11-24 23:24:07,72.79,-56.15,7.34,75,5,9.06
104,Netolice,CZ,2020-11-24 23:24:07,49.05,14.2,30.0,69,1,4.0
105,Marau,BR,2020-11-24 23:24:07,-28.45,-52.2,69.15,46,0,3.76
106,Saint Pete Beach,US,2020-11-24 23:24:07,27.73,-82.74,75.99,78,90,12.75
107,Krutinka,RU,2020-11-24 23:20:31,56.01,71.51,12.07,96,64,8.72
108,Jacareacanga,BR,2020-11-24 23:24:07,-6.22,-57.75,77.59,89,100,1.83
109,Tuatapere,NZ,2020-11-24 23:24:07,-46.13,167.68,63.97,45,0,4.72
110,Mastic Beach,US,2020-11-24 23:24:08,40.77,-72.85,39.2,69,1,5.82
111,Nikolskoye,RU,2020-11-24 23:24:08,59.7,30.79,36.0,96,75,4.47
112,Thinadhoo,MV,2020-11-24 23:24:08,0.53,72.93,81.82,78,1,10.25
113,Atuona,PF,2020-11-24 23:24:08,-9.8,-139.03,78.91,73,9,15.03
114,Ambon,ID,2020-11-24 23:24:08,-3.7,128.18,81.0,13,98,2.06
115,Tuktoyaktuk,CA,2020-11-24 23:20:07,69.45,-133.04,-0.4,84,75,4.7
116,Bathsheba,BB,2020-11-24 23:24:08,13.22,-59.52,78.8,83,40,10.29
117,Prince Rupert,CA,2020-11-24 23:23:46,54.32,-130.32,44.6,75,90,12.75
118,Mar Del Plata,AR,2020-11-24 23:24:08,-38.0,-57.56,66.99,88,0,6.26
119,Thompson,CA,2020-11-24 23:22:34,55.74,-97.86,5.0,84,20,4.7
120,Vanavara,RU,2020-11-24 23:24:08,60.34,102.28,8.02,95,100,5.41
121,Luderitz,NA,2020-11-24 23:24:09,-26.65,15.16,60.8,72,0,10.29
122,Ixtapa,MX,2020-11-24 23:19:29,20.7,-105.2,82.4,78,20,12.75
123,Poum,NC,2020-11-24 23:24:09,-20.23,164.02,78.12,75,87,16.26
124,Santa Maria,BR,2020-11-24 23:24:09,-29.68,-53.81,91.4,29,0,3.36
125,Batagay,RU,2020-11-24 23:24:09,67.63,134.63,-15.63,87,100,1.36
126,Gull Lake,CA,2020-11-24 23:24:09,50.1,-108.48,26.6,79,1,17.22
127,Abingdon,GB,2020-11-24 23:24:09,51.67,-1.28,48.2,87,86,12.75
128,Pacific Grove,US,2020-11-24 23:24:09,36.62,-121.92,62.01,81,1,4.7
