City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Vostok,RU,46.49,135.88,2.34,94,100,4.79,overcast clouds
82,Berlevag,NO,70.86,29.09,24.8,79,0,26.4,clear sky
83,Talara,PE,-4.58,-81.27,78.8,57,0,14.99,clear sky
84,Maniitsoq,GL,65.42,-52.9,25.45,85,100,10.54,overcast clouds
85,Tuktoyaktuk,CA,69.45,-133.04,6.8,84,90,8.05,light snow
86,Cabo San Lucas,MX,22.89,-109.91,77.0,69,75,6.93,broken clouds
87,Ust-Tsilma,RU,65.44,52.15,15.58,94,100,5.41,overcast clouds
88,Springbok,ZA,-29.66,17.89,55.51,64,0,5.95,clear sky
89,Barrow,US,71.29,-156.79,8.6,78,90,9.17,overcast clouds
90,Sola,VU,-13.88,167.55,79.38,85,48,16.89,light rain
91,Hambantota,LK,6.12,81.12,73.4,100,20,1.12,few clouds
92,Kruisfontein,ZA,-34.0,24.73,61.0,94,81,1.01,light rain
93,Miyako,JP,39.64,141.95,34.99,84,54,6.11,broken clouds
94,Salaverry,PE,-8.23,-78.97,68.0,77,60,13.87,broken clouds
95,Norman Wells,CA,65.28,-126.83,-20.2,75,40,3.83,scattered clouds
96,Manta,EC,-0.95,-80.73,78.8,69,20,8.05,few clouds
97,Kaitangata,NZ,-46.28,169.85,55.0,69,81,17.0,broken clouds
98,Ribeira Grande,PT,38.52,-28.7,55.4,66,75,10.29,shower rain
99,Hithadhoo,MV,-0.6,73.08,81.79,74,79,8.43,broken clouds
100,Hualmay,PE,-11.1,-77.61,73.15,60,6,11.07,clear sky
101,Nago,JP,26.59,127.98,66.2,63,90,12.75,light rain
102,Sitka,US,57.05,-135.33,39.2,86,90,29.97,moderate rain
103,Eyl,SO,7.98,49.82,77.29,72,0,19.1,clear sky
104,Sept-Iles,CA,50.2,-66.38,35.01,86,59,1.12,light rain
105,Victoria,HK,22.29,114.16,66.99,69,0,1.01,clear sky
106,Salalah,OM,17.02,54.09,78.8,65,75,2.24,broken clouds
107,Sao Filipe,CV,14.9,-24.5,75.7,72,100,8.46,overcast clouds
108,Simpsonville,US,34.74,-82.25,66.99,39,1,9.17,clear sky
109,Newry,GB,54.18,-6.34,48.99,84,90,5.01,overcast clouds
110,Khatanga,RU,71.97,102.5,12.29,96,100,18.79,light snow
111,Mount Isa,AU,-20.73,139.5,77.0,47,0,3.36,clear sky
112,Nampula,MZ,-15.12,39.27,80.6,65,75,6.93,broken clouds
113,La Paz,BO,-16.5,-68.15,62.6,39,75,13.87,broken clouds
114,Kodiak,US,57.79,-152.41,32.0,83,75,4.7,light snow
115,Waipawa,NZ,-41.41,175.52,57.2,93,100,18.34,moderate rain
116,Torbay,CA,47.67,-52.73,57.2,93,75,13.87,broken clouds
117,East London,ZA,-33.02,27.91,66.2,93,75,17.22,broken clouds
118,Sandwick,GB,60.0,-1.25,46.4,93,75,9.17,light rain
119,New Norfolk,AU,-42.78,147.06,57.0,72,100,1.01,light rain
120,Paamiut,GL,61.99,-49.67,32.56,96,100,22.35,snow
121,Caravelas,BR,-17.71,-39.25,79.66,72,60,9.22,broken clouds
122,Hasaki,JP,35.73,140.83,42.8,70,75,3.36,broken clouds
123,Talnakh,RU,69.49,88.4,8.6,92,90,22.37,light snow
124,Bethel,US,41.37,-73.41,53.01,50,90,9.17,overcast clouds
125,Chapais,CA,49.78,-74.85,28.4,92,90,8.05,light snow
126,Adrar,MR,20.5,-10.07,66.67,32,99,6.29,overcast clouds
127,Upernavik,GL,72.79,-56.15,-0.11,72,100,6.24,overcast clouds
128,Aklavik,CA,68.22,-135.01,5.0,91,100,2.24,overcast clouds
129,Alyangula,AU,-13.85,136.42,75.2,100,39,4.7,mist
130,Wakefield,GB,53.68,-1.5,45.0,99,100,4.34,overcast clouds
131,Stargard Szczecinski,PL,53.34,15.05,37.0,100,20,1.12,fog
132,Konevo,RU,62.12,39.32,13.84,96,15,4.25,few clouds
133,Lufilufi,WS,-13.87,-171.6,80.6,88,75,11.16,broken clouds
134,Baykit,RU,61.67,96.37,8.37,91,97,2.51,overcast clouds
135,Poum,NC,-20.23,164.02,75.33,77,2,15.73,clear sky
136,Harper,LR,4.38,-7.72,79.59,81,0,6.44,clear sky
137,Pannonhalma,HU,47.55,17.76,35.6,97,0,5.82,mist
138,Middelburg,ZA,-25.78,29.46,69.26,54,5,6.91,clear sky
139,Callaway,US,30.15,-85.57,73.0,77,90,6.93,overcast clouds
140,Toktogul,KG,41.87,72.94,27.91,85,49,2.89,scattered clouds
141,Karla,EE,59.37,24.93,36.0,87,90,4.7,overcast clouds
142,Ormara,PK,25.21,64.64,74.37,51,0,7.54,clear sky
143,Bloomington,US,44.84,-93.3,50.0,45,1,6.93,clear sky
144,Muros,ES,42.78,-9.06,54.0,66,20,8.05,light rain
145,Lebu,CL,-37.62,-73.65,59.88,83,100,8.43,overcast clouds
146,Banda Aceh,ID,5.56,95.32,77.81,81,99,3.11,moderate rain
147,Sarkand,KZ,45.41,79.92,24.89,91,100,2.37,overcast clouds
148,Hanna,CA,51.63,-111.9,26.01,86,56,13.0,broken clouds
149,Requena,ES,39.49,-1.1,48.99,79,0,1.01,clear sky
150,Cidreira,BR,-30.18,-50.21,74.88,84,100,19.48,overcast clouds
151,Erdenet,MN,49.03,104.08,1.99,91,0,3.31,clear sky
152,Korla,CN,41.76,86.15,29.03,81,93,5.53,overcast clouds
153,Chuy,UY,-33.7,-53.46,77.47,75,60,14.41,moderate rain
154,Paysandu,UY,-32.32,-58.08,72.79,92,100,7.85,moderate rain
155,Fairbanks,US,64.84,-147.72,-0.4,77,75,3.27,broken clouds
156,Tiksi,RU,71.69,128.87,-1.84,91,43,9.19,scattered clouds
157,Sampit,ID,-2.53,112.95,74.89,95,100,2.51,overcast clouds
158,Nakasongola,UG,1.31,32.46,67.69,90,100,2.53,light rain
159,Ixtapa,MX,20.7,-105.2,80.6,65,40,3.36,scattered clouds
160,Belaya Gora,RU,68.53,146.42,-11.67,90,100,3.51,overcast clouds
161,Tekkali,IN,18.62,84.23,71.24,64,19,5.7,few clouds
162,Iqaluit,CA,63.75,-68.51,14.0,78,75,21.92,light snow
163,Airai,TL,-8.93,125.41,62.53,100,100,0.98,overcast clouds
164,Grindavik,IS,63.84,-22.43,33.8,100,90,13.87,sleet
165,Yellowknife,CA,62.46,-114.35,-8.0,75,20,5.82,few clouds
166,Cherskiy,RU,68.75,161.3,0.01,93,99,2.71,overcast clouds
167,Kimberley,ZA,-28.73,24.76,66.2,88,20,6.93,few clouds
168,Geraldton,AU,-28.77,114.6,57.2,71,90,10.29,overcast clouds
169,Tabas,IR,33.6,56.92,55.4,50,100,2.24,overcast clouds
170,Fortuna,US,40.6,-124.16,50.0,86,94,1.99,overcast clouds
171,Tasiilaq,GL,65.61,-37.64,19.4,44,20,5.82,few clouds
172,Isla Pucu,PY,-25.3,-56.9,96.8,50,20,13.87,few clouds
173,Sorland,NO,67.67,12.69,45.99,77,100,30.62,overcast clouds
174,Dikson,RU,73.51,80.55,28.94,99,100,24.34,light snow
